id,subtype,is_active,name,slug,body,meta_title,meta_description,meta_keywords,searchable,deleted_at,created_at,updated_at,is_converted
1,mini-navigation,1,Unique Bradenton Area,unique-bradenton,,Unique Bradenton,,,Unique Bradenton Area Unique Bradenton,,2017-08-09 14:19:36,2018-10-02 11:30:16,1
2,simple-list,1,Local Stories,local-stories,,Florida Gulf Vacations | Anna Maria Island Beaches | Bradenton Gulf Islands,"Planning a trip to the Florida island beaches of Bradenton? View local stories about area attractions like Cortez, Florida, horse surfing and agritourism.",,"Local Stories Florida Waterfront Golf | Horse Surfing | Bradenton Gulf Islands Planning a trip to the Florida island beaches of Bradenton? View local stories about area attractions like Cortez, Florida, horse surfing and agritourism.",,2017-08-09 14:19:53,2021-11-22 14:12:00,1
3,simple-list,1,Suggested Itineraries,suggested-itineraries,,Vacation Inspiration | Bradenton Vacation Packages | Bradenton Gulf Islands,"These Bradenton vacation itineraries are full of adventurous activities, beach hopping and farm to table restaurants. Click here for vacation inspiration.",,"Suggested Itineraries Vacation Inspiration | Bradenton Vacation Packages | Bradenton Gulf Islands These Bradenton vacation itineraries are full of adventurous activities, beach hopping and farm to table restaurants. Click here for vacation inspiration.Attachment: 20171106213245-Hdr-Suggested-Itineraries.jpeg 20171106213245-hdr-suggested-itineraries.jpeg Sub-Sections-Nav Deck Find your vacation inspiration A pinch of relaxation. A dash of adventure. Mix in some fresh discoveries and you’ve just crafted the ideal Bradenton Area vacation package. Bradenton, Anna Maria Island and Longboat Key offer you some of the most original and inspirational vacation experiences in all of Florida. There are so many vacation activities to do and enjoy here, it’s no wonder visitors come back year after year. Are you ready to craft yours? Simple-List",,2017-08-09 14:20:11,2018-10-02 11:02:38,1
4,default,1,360 Tours,360-degree-tour,,360 Tours,,,"360 Tours 360 Tours Attachment: 20170928203706-Hdr-360-Tours.jpeg 20170928203706-hdr-360-tours.jpeg Sub-Sections-Nav Deck 360° Tours Have a look at what makes the Bradenton Area a unique vacation destination with our fully interactive 360-degree virtual tour. View aerial, ground, and even interior views of local points of interest, find useful information, and view videos from downtown and the islands. Search on your own or select the auto-tour and let us be your guide. Start the Tour Tout",,2017-08-09 14:20:27,2019-04-08 11:01:35,1
5,simple-list,1,Video Library,video-library,,Video Library,,,"Video Library Video Library Attachment: 20170928204040-Hdr-Video-Library.jpeg 20170928204040-hdr-video-library.jpeg Sub-Sections-Nav Deck Video Library Sorry...we're on island time. Check back soon for some video vacation inspiration. Just how do you put paradise into words? Actually, we could go on and on. Or you could just see it for yourself. Our extensive video library features the people and places that make The Bradenton Area a destination unlike any other. Simple-List",,2017-08-09 14:20:37,2019-04-08 11:03:05,1
6,default,1,Seasonal Events,seasonal-events,,Seasonal Events,,,"Seasonal Events Seasonal Events Attachment: 20170928203819-Hdr-Seasonal-Events.jpeg 20170928203819-hdr-seasonal-events.jpeg Sub-Sections-Nav Deck Events for every season With so much sunshine, beautiful surroundings, history and culture, there's always something to celebrate around the Bradenton Area. But be warned: you’ll probably get hungry reading about the Annual Seafood Festival, start tapping your foot and humming your favorite tune when you hear about the annual Blues Festival, or chant your favorite fight song when you discover all the world-class sporting events happening year-round. Although, we haven't heard any complaints yet. Html Container Attachment: 20171016111017-Spring-1.jpeg Spring Springtime is perhaps one of the best seasons to enjoy all the Bradenton Area has to offer. From fun outdoor events like food and music festivals, to sporting events like baseball spring training, springtime activities are all about getting outside to enjoy the lovely weather. Take advantage of all the Bradenton Area outdoors has to offer with a variety of fun, family-friendly events and activities. The Hernando De Soto Seafood Festival is widely recognized as one of Florida’s most outstanding events and features a great lineup of entertainment including the best local musicians, as well as nationally-known recording artists. Pittsburgh Pirates Spring Training can be found at LECOM Park, and is the perfect place to spend an afternoon watching America’s pastime played by some of the best athletes in the world. The Bradenton Farmers’ Market is a place where the community meets every Saturday – October through May – to enjoy fresh produce, local art, upbeat music, demonstrations by local chefs, and family activities. Blues, Brews and BBQ is an annual event serving up an extra special blend of great outdoor music, cold beer and tasty food at a family-friendly event that also spotlights the shops and restaurants that make Bridge Street “Anna Maria’s Hot Spot.” The Beach’N Food Truck & Music Festival is a free, family-friendly festival is a celebration of live music from local artists, tasty treats from some of the area’s favorite food trucks, brilliant works of art from local artists and unique crafts. 20171016111017-spring-1.jpeg Attachment: 20171016111017-Summer-2.jpeg Summer Here, summertime means finding the best ways to enjoy gorgeous sunny days and clear, serene nights. Celebrate summer with fireworks, minor league baseball, adrenaline-pumping outdoor adventures, and endless water activities. Make the most of summer with some of the best events and activities the Bradenton Area has to offer. 4th of July Fireworks displays can be enjoyed at a number of different places and celebrations in the Bradenton Area this summer, both on the mainland and out on the islands. Some of the best locations to watch include the Manatee River, LECOM Park, and pretty much any beach on Anna Maria Island. Adrenaline Row is a one-mile stretch of land with water on both sides offering insanely unique opportunities to thrill-seekers ready for an action-packed, heart-pounding day of fun on the water. The Bradenton Marauders is Bradenton’s very own minor league baseball team, and can be seen in action LECOM Park. The Tampa Bay Rays are Tampa Bay’s local pro-baseball team, playing just 30 minutes north of the Bradenton Area in St. Petersburg, making it an easy day trip to enjoy America’s pastime. 20171016111017-summer-2.jpeg Attachment: 20171016111017-Fall-1.jpeg Fall As temperatures begin to cool down in the Bradenton Area, the outdoor events and activities heat up. This fall, celebrate the arts, tour a citrus grove, pick pumpkins, sample the local fare at a food fest, enjoy an enchanting symphony on the sand and so much more. Attend a variety of events designed to get you out and about to enjoy fall in the Bradenton Area. Bayfest Pine Avenue is the longest-running festival on Anna Maria Island, and it's one of the most popular with music, food, arts and crafts. The Gulf Coast Rhythm & RibFest is a major annual fundraising event benefiting low income, and at-risk youth, and features live music, family-friendly games, and of course some of the best ribs in the world. The Hunsader Pumpkin Festival features live music, entertaining shows, exciting displays of daring stunts and a huge selection of pumpkins of all shapes and sizes. Symphony on the Sand offers an elegant evening on picturesque Coquina Beach with three hours of fine food and music provided by the 45-piece Anna Maria Island Concert Chorus & Orchestra. ArtsHop features live music, great food and the chance to experience some of the very best artwork the area has to offer. The Bradenton Blues Festival features an outstanding lineup of talented blues musicians as well as local craft beer, delicious specialty food vendors and more. The Bradenton Farmers’ Market is a place where the community meets every Saturday – October through May – to enjoy fresh produce, local art, upbeat music, demonstrations by local chefs, and family activities. The Mixon Fruit Farms Harvest Festival takes places throughout November and features great food, a health and business fair and a fun crafts fair. The Festival of the Skeletons Artwalk, inspired by the Day of the Dead, features shrines and altars throughout the Village dedicated to deceased artists, Mexican food, a memorial fence, skeleton crafts, strolling skeletons and more. The Tampa Bay Lightning are the local NHL ice hockey team, located just a breezy 45 minutes away at Amalie Arena in Tampa. The team plays 41 home games a year, making it easy to catch an ‘electrifying’ game while you’re in the area! The Tampa Bay Buccaneers are the local NFL football team, located about an hour away at Raymond James Stadium in Tampa. Take a day trip to one of their home games and enjoy a drink on their pirate ship! 20171016111017-fall-1.jpeg Attachment: 20171016111018-Winter-2.jpeg Winter What our winters lack in snowball fights and sledding they more than make up for with sunny days and fun-filled activities. This winter, enjoy live music, food fests, artistic events, farmer’s markets, a county fair, a race on the river and more. While everyone else is shoveling snow, those in the Bradenton Area will enjoy fun outdoor activities and events all season. The Manatee County Fair is a wholesome community tradition packed with a variety of things to see, do and eat. The Bradenton Area River Regatta has it all—speed, stars, showmanship—in a free spectacle that will have you holding your breath through every heart-pounding moment. The Cortez Fishing Festival celebrates the livelihood of Cortez Village, the commercial fishing industry, with great food, fun games and live music. ArtSlam invites you to engage in the creative process, experience temporary public art, and watch as teams of students and creatives take art out of the classrooms and studios and onto the streets. The Bradenton Farmers’ Market is a place where the community meets every Saturday – October through May – to enjoy fresh produce, local art, upbeat music, demonstrations by local chefs, and family activities. Christmas on Bridge Street is an annual, free, family-friendly holiday event with live music, theatrical performances, arts and crafts, handcrafted works of art, baked goods and even Santa himself. The North Pole Express All aboard! The North Pole Express departs every year from the Florida Railroad Museum in Parrish. This jolly ride transports you to a holiday wonderland in the North Pole. Families can enjoy the lights and decorations, unlimited hot chocolate and cookies, a model train display, and arts and crafts, and more. And no visit to the North Pole would be complete without a visit to Santa himself! 20171016111018-winter-2.jpeg",,2017-08-09 14:20:50,2018-10-02 11:02:39,1
7,navigation,1,The Powel Crosley Estate,crosley-estate,,Powel Crosley Estate | Crosley Estate Mansion | Bradenton Gulf Islands,"The Crosley Estate is a historical mansion situated directly on the water, a perfect venue for meetings, weddings, holiday parties and other events. Learn more.",,"The Powel Crosley Estate Powel Crosley Estate | Crosley Estate Mansion | Bradenton Gulf Islands The Crosley Estate is a historical mansion situated directly on the water, a perfect venue for meetings, weddings, holiday parties and other events. Learn more.Attachment: 20170929201452-Hdr-Crosley-Estate.jpeg The Powel Crosley Estate 20170929201452-hdr-crosley-estate.jpeg Html Container Tout: Contact Us - Crosley Estate Contact Us - Crosley Estate Contact Us Give your meeting, wedding, holiday party, or other event a storybook backdrop straight from the pages of history. Tout: Booking The Crosley Booking The Crosley Booking The Crosley Make an appointment to view this extraordinary facility. Social-Feed Share Your Special Day",,2017-08-09 14:21:06,2019-02-13 10:04:09,1
8,mini-navigation,1,Event Services,special-event-services,,Event Services,,,Event Services Event Services,,2017-08-09 14:21:51,2018-10-02 11:30:17,1
9,navigation,1,Sports,sports,,Bradenton Area Sports | Sports Arena | Bradenton Gulf Islands,In search of a Florida sports venue? The Bradenton area offers the finest sports venues for training and sports events in the nation. Learn more.,,"Sports Bradenton Area Sports Commission | Sports Arena | Bradenton Gulf Islands In search of a Florida sports venue? The Bradenton area offers the finest sports venues for training and sports events in the nation. Learn more.Attachment: 20171030143023-Hdr-Rowing-Champs.jpeg 20171030143023-hdr-rowing-champs.jpeg Deck Welcome to the emerging all-star of sports in Florida. The Bradenton Area has been a perennial favorite for athletes, teams and their coaches for years. The superb weather, welcoming attitude and tremendous value all combine to make it the top sports destination. And for many sports, the area offers the finest facilities for training and sports events in the nation. Let us help you get your game on! We've got what it takes to become your destination of choice for your event or annual tournament. Html Container Tout: Sports - Contact U Sports - Contact Us Contact Us Our local professionals help with everything from pre-trip planning to post-event follow up, accommodations, and more. Tout: Sports - Sponsorship Opportunity Sports - Sponsorship Opportunities Sponsorship Opportunities Download ourSport Events Sponsorship Application Social-Feed Share Your Experience",,2017-08-09 14:22:03,2021-05-17 16:35:04,1
10,default,1,Venues,venues,,Venues,,,"Venues Venues Attachment: 20171030144446-Hdr-Sports-General.jpeg 20171030144446-hdr-sports-general.jpeg Deck Want a warm-weather destination to host your next sporting event where everyone can relax and unwind after the game? The Bradenton Area supports a variety of sports--including top-notch sporting venues and a backdrop of beautiful islands ringed with sugar-white sand beaches. Article-Subsection Andersen RacePark Andersen RacePark is a go-kart and small-formula car facility that offers “arrive and drive” and professional driver development services. The racetrack sits on 18 landscaped acres and features a test track and opportunities for Indy car, stock car and drag racing. Learn more Article-Subsection Bradenton Area Convention Center Located on the scenic Manatee River, this flexible full-service facility has the space and staff necessary to make your event an overwhelming success. An ideal location for any indoor sporting event, the Bradenton Area Convention has a professional and friendly staff that is ready to assist you in planning and overseeing your function. With the ability to seat 4,000 people in a 34,000 square foot arena, there are also seven conference rooms available to help enhance your sporting event. Learn more Article-Subsection Bradenton Complexes The Bradenton Area offers a number of pristine, landscaped parks to host your next sporting event. With six top notch facility designed to accommodate large crowds and multiple events. These facilities include (but are not limited to) seven big league fields, 15 little league fields, five t-ball fields, 14 softball fields, 21 soccer fields, four football fields and eight outdoor courts. Learn more Article-Subsection Bradenton Motorsports Bradenton Motorsports is a great facility 1/8 Mile and ¼ mile drag racing and testing, grudge racing, car shows, and club track days. Standing tall with a start tower, 12,000 seat stadium and ample parking for all, this weekly racing is home to NMRA and NMCA. Learn more Article-Subsection Coquina and Manatee Beach Clear water and 15 miles of beautiful, white sand beaches combine to create some of the best backdrops during your sporting event. The beaches in the Bradenton, Anna Maria Island and Longboat Key area are a great place to host your next tournament and training. Learn more Article-Subsection Ellenton Ice and Sports Complex The 115,000-square-foot, “igloo-like” complex is a state-of-the-art facility on the Florida Gulf Coast offering recreational and entertainment activities for all ages. The complex features two NHL-regulation ice rinks, a 13,500-square-foot indoor soccer/ball hockey/lacrosse floor and a fitness center. Learn more Article-Subsection Fort Hamer Rowing Facility Located in the Bradenton Area, right off the Manatee River, the Fort Hamer Rowing Facility helps turn athletes into serious contenders. With an 8,500-square-foot fourbay boathouse and 15 miles (one-way) of rowable water surrounded by the natural, serene beauty of the Manatee County outdoors, there is no better place for teams of any size to train. Learn more Article-Subsection IMG Academy IMG Academy annually attracts nearly 200,000 athletes, coaches and spectators from 100 countries. In addition to its boarding preparatory school, IMG offers high-level training programs and hosts tournaments for amateur, collegiate and professional athletes and teams. Experience the benefit of state-of-the-art facilities and an entire staff dedicated to improving the skill level of athletes across a spectrum of different sports. Learn more Article-Subsection LECOM Park For more than 90 years, LECOM Park, formerly McKechnie Field, has been a source of fun and excitement in Bradenton. This 8,500+ person, state-of-the-art stadium is perfect for baseball training and tournaments. A 19,000-squarefoot boardwalk spanning the outfield provides an exceptional experience for both athletes and fans. Learn more Article-Subsection Pirate City Train where the pros train and take your team’s game to the next level. The Pittsburgh Pirates conduct their spring training in Bradenton at LECOM Park, and Pirate City is their state-of-the- art training facility near the stadium. You'll walk on 100% Bermuda grass among four fields in a cloverleaf design. Spectators can watch from a common area in the middle and entry to the fields can be secured for ticket sales purposes. Learn more Article-Subsection Premier Sports Campus The Premier Sports Campus, with 23 multi-purpose FIFA regulation fields (eight lighted), and more than 140 acres, can support a variety of field-related events. Underground field irrigation allows for efficient water drainage and improves timeout weather management. The campus is available to host local, state, regional and national level events. Learn more Article-Subsection State College of Florida (SCF) Home of the Manatees, the State College of Florida campus in Bradenton offers a number of facilities and accommodations. With the ability to host baseball, softball, basketball, tennis and volleyball you can play on the same grounds as college players. Learn more",,2017-08-09 14:22:13,2018-10-02 11:02:39,1
