simpleview_listing_accountid,simpleview_listing_ACCTID,simpleview_listing_LONGITUDE,simpleview_listing_CITY,simpleview_listing_LISTINGKEYWORDS,simpleview_listing_ALTPHONE,simpleview_listing_TOLLFREE,simpleview_listing_SOCIALMEDIA,simpleview_listing_FAX,simpleview_listing_EMAIL,simpleview_listing_ADDR3,simpleview_listing_ZIP,simpleview_listing_ADDR1,simpleview_listing_PHONE,simpleview_listing_ADDR2,simpleview_listing_LATITUDE,simpleview_listing_WEBURL,simpleview_listing_LOGOFILE,simpleview_listing_STATE,simpleview_listing_LISTINGID,Listing Category one,Listing Region,Listing Amenity,ID,Title,Content,Excerpt,Date,Post Type,Permalink,Image ID,Listing Category Two
9,73,-91.4007139206,Natchez,,,,,,reservations@josephstonehouse.com,,39120,804 Washington Street,(601) 897-0315,,31.55510629,http://www.josephstonehouse.com/,,MS,9,STAY>Bed &amp; Breakfasts,,Breakfast Included|Credit Cards Accepted|Downtown Walking Distance|Historic Property|Internet Access|Off Street Parking|Private Bath|Wireless Internet in Room,1024,Stone House Musical B&B,"This Fall Pilgrimage Tour House furnished with period antiques includes live classical piano music with wine, hot breakfast served on antique Limoges china, an antebellum billiard hall and Gallery of Antique Maps and Prints, all in one convenient location! Winner of TripAdvisor 2012 & 2013 Travelers' Choice Awards for the Top 25 B&B's in USA. Please visit our website for more details.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/stone-house-musical-bb/,1025,
13,80,-91.4059055000,Natchez,,,(866) 488-0898,,,,,39120,111 Broadway Street,(601) 446-9994,,31.562182,http://www.natchezgrandhotel.com,,MS,13,STAY>Hotels &amp; Motels,,Breakfast Included|Business Center|Coffee Maker|Credit Cards Accepted|Downtown Walking Distance|Fitness Center|Hair Dryer|Internet Access|Iron &amp; Board|Jacuzzi Suites|Laundry Service|Meeting Space Available|Microwave|Off Street Parking|Outdoor Pool|Refrigerator|River Views|Rooms with River Views Available,1026,Natchez Grand Hotel,"Located across the street from the Natchez Convention Center, the Natchez Grand Hotel located in the heart of downtown Natchez. Opened in the Spring of 2008, the Grand was a welcomed addition to downtown lodging, offering 119 additional rooms to entice meeting and convention planners to Natchez.
19 of the rooms are suites and all are quite comfortable and elegantly appointed. Be sure to ask for a river view room when you call to book your stay.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/natchez-grand-hotel/,1027,
17,334,-91.4041371000,Natchez,,,,,,bblues@bellsouth.net,,39120,315 Main Street,(601) 446-9922,,31.5608279,http://www.biscuitsblues.com/,,MS,17,EAT>Local Flavor,,,1028,Biscuits & Blues,"Come on in to Biscuits and Blues for a full evening of great food, great drink, and lots of friendly folks. There is a nightly happy hour, and they offer a nice variety of imported beers at this Natchez nightlife favorite. Savor award winning cuisine and the best California wines, micro-brews, and specialty cocktails.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/biscuits-blues/,1029,
21,88,-91.3968430000,Natchez,,,,,(601) 653-4116,comfort@dshieldsusa.com,,39120,709 N. Union Street,(601) 304-5378,,31.5638765,https://www.dshieldsusa.com/,https://assets.simpleviewinc.com/simpleview/image/upload/crm/natchez/Exterior---Inn---Dusk-X30_d71307a2-5056-a36a-0817a3ea30d7edc0.jpg,MS,21,STAY>Bed &amp; Breakfasts,Downtown,Breakfast Included|Children Under 14|Coffee Maker|Credit Cards Accepted|Downtown Walking Distance|Fitness Center|Free Parking Lot Available|Hair Dryer|Historic Property|Internet Access|Iron &amp; Board|Laundry Service|Meeting Space Available|Microwave|Off Street Parking|Pets Allowed (under 25lbs)|Private Bath|Refrigerator|Wireless Internet in Room,1030,Devereaux Shields House,"Plan your next getaway to our elegant Natchez bed and breakfast. Set in the heart of the historic district of Natchez, Mississippi, Devereaux Shields House offers two separate properties, one of which is pet friendly. We offer an ideal location that is only a few block from downtown restaurants, shopping and attractions. Experience true Southern Hospitality with a delicious full breakfast each morning, beautiful gardens and thoughtfully appointed guestrooms, including 2-room suites. Join us for a romantic getaway in Mississippi you will never forget! Give the gift of a getaway this season with a Devereaux Shields House gift certificate!",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/devereaux-shields-house/,1031,
22,89,-91.4019209146,Natchez,,(601) 445-6000,,,,natchezguesthouse@yahoo.com,,39120,201 N. Pearl Street,(601) 442-8848,,31.56119953,http://www.guesthousenatchez.com,,MS,22,STAY>Bed &amp; Breakfasts,Downtown,Breakfast Included|Business Center|Children Under 14|Coffee Maker|Credit Cards Accepted|Downtown Walking Distance|Free Parking Lot Available|Hair Dryer|Historic Property|Internet Access|Iron &amp; Board|Long Term Stay Available|Meeting Space Available|Off Street Parking|Private Bath|Wireless Internet in Room,1032,The Guest House,"Located in the heart of historic downtown Natchez, the Guest House features 16 beautiful rooms. Appointed with antiques and antique reproductions, each of our guest rooms also offers modern conveniences such as a cable television, in-room telephone, an alarm clock, and wireless Internet access. There are two large verandas which front the building where guests are welcome to sip an evening cocktail while rocking their cares away in the breeze. When you walk out the door, you are just steps away from antiques row and only a block from most shopping and dining. Your stay at the Guest House will truly be a memorable one.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/the-guest-house/,,
23,91,-91.3860996000,Natchez,,,,,,Natchez@americanmotel.travel,,39120,109 Hwy. 61 South,(601) 445-8291,,31.5175111,https://www.wyndhamhotels.com/days-inn/natchez-mississippi/days-inn-natchez/overview,,MS,23,STAY>Hotels &amp; Motels,,Breakfast Included|Coffee Maker|Credit Cards Accepted|Hair Dryer|Internet Access|Iron &amp; Board|Laundry Service|Meeting Space Available|Microwave|Off Street Parking|Outdoor Pool|Pets Allowed (under 25lbs)|Refrigerator,1033,Days Inn,"The Days Inn of Natchez is an upscale version of the national chain and is located on the northbound lane of Hwy. 61 South, just minutes from downtown. There are 123 rooms available and a number of restaurants, both local fare and national chains nearby. This unique property features beautifully finished deluxe rooms visited by celebrities such as actors John Wayne and William Holden, and Director John Ford. There is a complimentary dinner served Monday thru Thursday (until it's all gone), and there is a complimentary breakfast buffet complete with waffles to start your day.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/days-inn/,1034,
24,370,-91.4104400000,Natchez,,,800-HAMPTON,,(601) 446-6771,hilton.natchez@gmail.com,,39120,627 S. Canal Street,(601) 446-6770,,31.5560188,http://hamptoninn1.hilton.com,,MS,24,STAY>Hotels &amp; Motels,,Breakfast Included|Business Center|Coffee Maker|Credit Cards Accepted|Fitness Center|Hair Dryer|Internet Access|Iron &amp; Board|Laundry Service|Meeting Space Available|Microwave|Off Street Parking|Outdoor Pool|Pets Allowed (under 25lbs)|Refrigerator|Rooms with River Views Available,1035,Hampton Inn & Suites,"Business travelers and vacationers alike will want a hotel that offers modern amenities with incredible service. That's just what you'll find at the Hampton Inn & Suites Natchez, MS hotel. Conveniently located on the banks of the Mississippi River, it offers the ideal place to relax and enjoy the awe-inspiring view. Whatever your pleasure-from antebellum home tours to picnics on the bluff-you'll find it all near this comfortable Natchez hotel.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/hampton-inn-suites/,1036,
26,197,-91.3855648041,Natchez,,,,,,lambert_carrie@yahoo.com,,39120,1358 John A. Quitman Boulevard,(601) 442-5852,,31.55323207,http://www.monmouthhistoricinn.com/,,MS,26,STAY>Bed &amp; Breakfasts,Near Downtown,Breakfast Included|Business Center|Credit Cards Accepted|Free Parking Lot Available|Hair Dryer|Historic Property|Internet Access|Iron &amp; Board|Jacuzzi Suites|Laundry Service|Long Term Stay Available|Meeting Space Available|Off Street Parking|Outdoor Dining Available|Private Bath|Restaurant|Wireless Internet in Room,1037,Monmouth Historic Inn,"Monmouth is listed as a National Historic Landmark, resting on 26 beautifully landscaped acres, and no matter which facility your guest room is in, all are comfortable and luxuriously furnished. Daily 10 AM and 2 PM tour of the historic property may be purchased at the home.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/monmouth-historic-inn/,1038,
28,101,-91.4008104801,Natchez,,,,,,spike@wilkinstownhouse.com,,39120,300 N. Commerce Street,(601) 442-9935,,31.56142351,http://www.wilkinstownhouse.com,,MS,28,STAY>Bed &amp; Breakfasts,,Breakfast Included|Credit Cards Accepted|Downtown Walking Distance|Hair Dryer|Historic Property|Laundry Facility Available|Private Bath,1039,Wilkins Town House,The 1835 Wilkins Town House has two exquisitely furnished suites from which to choose. Each suite can sleep up to four people with a queen size bed and queen size sofa-bed in each parlor. You'll feel like you've stepped back in time with the 12 foot ceilings in the suites and main living area. The Wilkins Town House bed and breakfast is located in the downtown area close to dining and shopping.,,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/wilkins-town-house/,1040,
29,102,-91.4055740000,Natchez,,,(866) 442-7674,,(601) 442-6335,guest@natchezbedandbreakfast.com,,39120,310 S. Pearl Street,(601) 442-7674,,31.557876,http://www.natchezbedandbreakfast.com,,MS,29,STAY>Bed &amp; Breakfasts,,Breakfast Included|Credit Cards Accepted|Downtown Walking Distance|Historic Property|Internet Access|Private Bath,1041,Pleasant Hill,"This cozy bed and breakfast is located just two blocks from the business and shopping district of downtown Natchez. Pleasant Hill is an excellent example of a well designed and executed city residence of the 1830's. All guests will be provided with a private bath, a tour of the home, complimentary refreshments in the tropical sunroom and a casual, but full, breakfast to start your morning.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/pleasant-hill/,1042,
